Data,latitude,longitude,confidence
2021-10-15,-5.0347,-42.8014,62.0
2019-08-03,-7.1654,-34.8156,49.0
2021-04-28,-25.4486,-49.2306,79.0
2024-07-23,-27.6025,-48.62,63.0
2024-05-12,-9.9592,-67.869,64.0
2022-12-24,-30.0536,-51.1747,82.0
2023-03-18,-22.9883,-43.1906,0.0
2022-03-15,-20.2708,-40.3058,0.0
2023-07-11,2.8169,-60.6908,0.0
2023-02-03,-27.6025,-48.62,63.0
2020-08-13,-19.98,-43.9586,44.0
2023-10-29,-20.4472,-54.7226,50.0
2020-02-13,-20.4472,-54.7226,50.0
2019-07-01,-9.9578,-68.1652,71.0
2024-06-27,-9.5511,-35.7703,64.0
2024-02-12,-16.6428,-49.2203,78.0
2022-04-26,0.035,-51.0889,86.0
2021-06-14,-8.0592,-34.9592,39.0
2020-09-24,-27.6025,-48.6201,63.0
2021-07-08,-10.9525,-37.0544,0.0
2021-03-23,-30.0536,-51.1747,82.0
2022-10-07,-22.9883,-43.1906,0.0
2024-06-29,0.035,-51.0889,86.0
2020-07-23,-25.4487,-49.2306,79.0
2023-03-03,-3.8158,-38.5378,80.0
2020-12-14,-22.9883,-43.1906,0.0
2021-08-18,-5.0347,-42.8014,62.0
2022-08-06,2.8169,-60.6908,0.0
2019-04-15,2.8169,-60.6908,0.0
2024-07-04,-16.6428,-49.2203,78.0
2023-03-06,-19.8839,-43.9694,78.0
2022-10-24,-9.6797,-68.1653,71.0
2020-06-20,-15.5593,-56.063,77.0
2019-04-28,-22.3581,-49.0289,32.0
2020-04-04,-22.3581,-49.0289,32.0
2020-05-04,2.8169,-60.6908,0.0
2024-06-20,0.035,-51.0889,86.0
2023-08-21,-10.9525,-37.0544,0.0
2022-05-21,-9.5511,-35.7703,64.0
2022-05-29,-8.7936,-63.8458,72.0
2020-01-21,-16.6428,-49.2202,78.0
2023-12-31,-5.0347,-42.8014,62.0
2020-09-14,-10.9524,-37.0543,0.0
2023-07-11,-19.8839,-43.9694,78.0
2019-12-10,-9.9578,-68.1652,71.0
2020-07-10,-16.6428,-49.2202,78.0
2023-06-22,-22.9883,-43.1906,0.0
2024-06-26,-10.1478,-48.3144,75.0
2024-05-15,-1.4112,-48.4395,27.0
2019-03-02,-19.98,-43.9587,44.0
2022-02-14,-7.1653,-34.8156,49.0
2022-07-06,-15.7894,-47.9258,84.0
2022-02-13,-22.9883,-43.1906,0.0
2019-07-17,-10.1907,-48.3018,69.0
2020-05-08,2.8169,-60.6908,0.0
2020-07-03,-16.6428,-49.2202,78.0
2021-02-19,-16.6428,-49.2202,78.0
2019-12-25,-7.1654,-34.8156,49.0
2022-09-29,-8.7936,-63.8458,72.0
